"","num","treat"
"1","SRR5190769","Control"
"2","SRR5190771","Control"
"3","SRR5190773","Control"
"4","SRR5190774","Control"
"5","SRR5190776","Control"
"6","SRR5190777","Control"
"7","SRR5190781","Control"
"8","SRR5190783","Seep"
"9","SRR5190785","Seep"
"10","SRR5190786","Seep"
"11","SRR5190787","Seep"
"12","SRR5190788","Seep"
"13","SRR5190790","Seep"
"14","SRR5190792","Seep"
"15","SRR5190794","Seep"
"16","SRR5190795","Seep"
"17","SRR5190767","Control"
"18","SRR5190768","Control"
"19","SRR5190770","Control"
"20","SRR5190772","Control"
"21","SRR5190775","Control"
"22","SRR5190778","Control"
"23","SRR5190779","Control"
"24","SRR5190780","Control"
"25","SRR5190782","Seep"
"26","SRR5190784","Seep"
"27","SRR5190789","Seep"
"28","SRR5190791","Seep"
"29","SRR5190793","Seep"
