"","num","treat"
"1","SRR5190738","Control"
"2","SRR5190740","Control"
"3","SRR5190742","Control"
"4","SRR5190744","Control"
"5","SRR5190746","Control"
"6","SRR5190750","Control"
"7","SRR5190752","Seep"
"8","SRR5190756","Seep"
"9","SRR5190758","Seep"
"10","SRR5190761","Seep"
"11","SRR5190763","Seep"
"12","SRR5190737","Control"
"13","SRR5190739","Control"
"14","SRR5190741","Control"
"15","SRR5190743","Control"
"16","SRR5190745","Control"
"17","SRR5190747","Control"
"18","SRR5190748","Control"
"19","SRR5190749","Control"
"20","SRR5190751","Control"
"21","SRR5190753","Seep"
"22","SRR5190754","Seep"
"23","SRR5190755","Seep"
"24","SRR5190757","Seep"
"25","SRR5190759","Seep"
"26","SRR5190760","Seep"
"27","SRR5190762","Seep"
"28","SRR5190764","Seep"
"29","SRR5190765","Seep"
"30","SRR5190766","Seep"
