"","num","treat"
"1","SRR5362799","MV"
"2","SRR5362800","HV"
"3","SRR5362801","HV"
"4","SRR5362802","HV"
"5","SRR5362803","HV"
"6","SRR5362804","MV"
"7","SRR5362805","HV"
"8","SRR5362806","MV"
"9","SRR5362807","MV"
"10","SRR5362808","MV"
"11","SRR5362809","MV"
"12","SRR5362810","MV"
"13","SRR5362811","MV"
"14","SRR5362812","MV"
"15","SRR5362813","MV"
"16","SRR5362815","MV"
"17","SRR5362816","HV"
"18","SRR5362824","MV"
"19","SRR5362825","MV"
"20","SRR5362826","HV"
"21","SRR5362827","HV"
"22","SRR5362828","HV"
