# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/work/07368/sbes29/ls6/db/Amil.coding.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.txt" "-T" "64" "--primary" "o0.bam" "o10.bam" "o1.bam" "o2.bam" "o3.bam" "o4.bam" "o6.bam" "o7.bam" "o8.bam" "o9.bam" "oM1.bam" "w22.bam" "w23.bam" "w24.bam" "w25.bam" "w26.bam" "w27.bam" "w28.bam" "w30.bam" "w31.bam" 
Geneid	Chr	Start	End	Strand	Length	o0.bam	o10.bam	o1.bam	o2.bam	o3.bam	o4.bam	o6.bam	o7.bam	o8.bam	o9.bam	oM1.bam	w22.bam	w23.bam	w24.bam	w25.bam	w26.bam	w27.bam	w28.bam	w30.bam	w31.bam
Amillepora16770	chr10	78574	86389	+	7816	586	602	453	379	285	288	310	454	176	481	292	572	206	424	136	416	235	332	318	361
Amillepora16769	chr10	56203	78368	-	22166	364	333	382	261	199	155	242	219	155	239	225	299	138	202	125	272	174	211	219	121
Amillepora16774	chr10	129293	169672	-	40380	1285	855	1083	1077	635	425	577	697	322	731	798	931	435	897	430	856	299	766	823	534
Amillepora16773	chr10	116856	127301	-	10446	1226	1483	1688	1048	1261	765	1094	982	461	1121	866	1433	799	655	250	874	736	959	796	676
Amillepora16771	chr10	90029	110622	-	20594	1040	959	1278	1321	637	494	1262	1597	321	708	827	1390	592	1055	549	1268	770	883	938	676
Amillepora16778	chr10	201101	205740	+	4640	5	17	7	21	4	2	6	3	3	8	8	13	3	6	5	4	4	5	4	4
Amillepora16777	chr10	171170	197798	-	26629	1165	1454	1521	856	587	433	639	792	488	1082	824	674	379	566	228	663	541	635	589	471
Amillepora16779	chr10	207171	226252	-	19082	300	285	372	296	145	101	171	185	100	178	158	232	101	205	69	252	106	146	160	93
Amillepora16782	chr10	270177	271009	-	833	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora16781	chr10	269654	270159	-	506	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Amillepora16780	chr10	268976	269380	-	405	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora16783	chr10	271174	271481	-	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16793	chr10	355437	358209	+	2773	0	2	1	1	0	0	1	2	1	0	3	3	1	1	0	0	0	0	0	0
Amillepora16784	chr10	290446	301430	+	10985	95	173	285	155	66	46	139	74	32	142	79	147	51	80	25	117	71	75	97	39
Amillepora16795	chr10	374803	377778	-	2976	201	150	213	137	93	84	169	169	85	223	119	191	88	170	33	156	58	90	90	92
Amillepora16787	chr10	308237	314231	-	5995	70	69	78	41	30	26	34	79	35	72	46	44	34	32	18	43	38	39	27	31
Amillepora16794	chr10	361003	374285	-	13283	123	137	159	150	98	43	106	105	46	104	80	92	76	85	41	104	82	115	77	70
Amillepora16792	chr10	340754	348300	-	7547	37	30	29	24	20	13	31	18	13	31	27	29	16	17	2	26	11	23	19	14
Amillepora16791	chr10	334969	340469	-	5501	32	33	21	17	3	5	15	12	2	19	25	16	10	22	8	36	17	64	21	15
Amillepora16790	chr10	323999	326833	-	2835	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16788	chr10	315180	319549	-	4370	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0
