amillepora00632 069l
amillepora08564 1433b
amillepora35525 1433b-2
amillepora23154 1433e
amillepora23155 1433e-2
amillepora23159 1433e-3
amillepora23160 1433e-4
amillepora08565 1433t
amillepora23156 1433z
amillepora13099 1a1l1
amillepora16329 2a5a
amillepora16324 2a5d
amillepora24360 2aaa
amillepora27458 2aaa-2
amillepora01031 2aba
amillepora27435 3604l
amillepora24440 3bhs2
amillepora04850 3bp2
amillepora04853 3bp2-2
amillepora12481 3bp5l
amillepora12578 3bp5l-2
amillepora07469 3hao
amillepora11119 3hidh
amillepora14304 3mg
amillepora04809 4ebp2
amillepora35753 4et
amillepora08680 5ht1b
amillepora32040 5ht1d
amillepora30973 5ht2a
amillepora30738 5ht3b
amillepora01072 5ht4r
amillepora03232 5ht4r-2
amillepora04678 5ht4r-3
amillepora27832 5nt3a
amillepora04138 5ntc
amillepora09097 5ntd
amillepora09100 5ntd-2
amillepora19916 5ntd-3
amillepora19917 5ntd-4
amillepora19918 5ntd-5
amillepora19347 6pgd
amillepora21206 6pgl
amillepora06165 8odp
amillepora04733 a16a1
amillepora24641 a16l1
amillepora09723 a1cf
amillepora03028 a2mg
amillepora32350 a331
amillepora32351 a331-2
amillepora26522 a6907
amillepora03706 aa2ar
amillepora06218 aa2ar-2
amillepora10123 aa2ar-3
amillepora12046 aa2ar-4
amillepora12715 aa2ar-5
amillepora14607 aa2ar-6
amillepora34623 aa2ar-7
amillepora24700 aaad
amillepora12587 aaas
amillepora25007 aacs
amillepora01936 aagab
amillepora21357 aak1
amillepora19241 aakb2
amillepora08347 aakg1
amillepora33574 aamp
amillepora33583 aamp-2
amillepora02703 aapc
amillepora26209 aapk2
amillepora15284 aar2
amillepora12025 aasd1
amillepora16854 aass
amillepora01044 aatc
amillepora30490 aatf
amillepora03599 aatm
amillepora36838 ab12c
amillepora01759 ab17c
amillepora26133 abca1
amillepora01325 abca2
amillepora11627 abca2-2
amillepora14835 abca3
amillepora33557 abca3-2
amillepora14777 abca5
amillepora11032 abcb6
amillepora19771 abcb7
amillepora09078 abcb9
amillepora10307 abcba
amillepora10309 abcba-2
amillepora16694 abcba-3
amillepora21958 abcba-4
amillepora27905 abcc8
amillepora03318 abcd2
amillepora26212 abcd3
amillepora15349 abcd4
amillepora10476 abce1
amillepora01246 abcf1
amillepora11063 abcf2
amillepora32917 abcf3
amillepora11662 abcg1
amillepora11670 abcg1-2
amillepora32884 abcg1-3
