# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60
# time: Tue Oct  2 21:05:37 2018
#query_name	eggNOG annot
Amillepora16770	chromosome 1 open reading frame 194
Amillepora16769	family with sequence similarity
Amillepora16774	Transketolase
Amillepora16773	Transketolase
Amillepora16771	iQ motif containing with AAA domain
Amillepora16778	NA
Amillepora16777	filamin ABP280 repeat-containing domain protein
Amillepora16779	NA
Amillepora16793	solid-state culture specific protein
Amillepora16784	Transient receptor potential cation channel subfamily V member
Amillepora16795	Ring finger protein
Amillepora16796	RAD54-like 2 (S. cerevisiae)
Amillepora16798	Component of the SCF(sconB) E3 ubiquitin ligase complex involved in the regulation of sulfur metabolite repression, probably by mediating the inactivation or degradation of the metR transcription factor
Amillepora16797	RAS
Amillepora16812	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Amillepora16808	RAD18 homolog (S. cerevisiae)
Amillepora16815	ets variant
Amillepora16806	Quinone oxidoreductase-like protein
Amillepora16813	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16807	mitochondrial import inner membrane, translocase subunit
Amillepora16814	MON2 homolog (S. cerevisiae)
Amillepora16811	mitochondrial processing
Amillepora16805	creatine kinase
Amillepora16809	YY1 associated factor 2
Amillepora16802	cyclopropane-fatty-acyl-phospholipid synthase
Amillepora16803	Intraflagellar transport 122 homolog (Chlamydomonas)
Amillepora16810	ras homolog family member
Amillepora16817	ets variant
Amillepora16824	Major facilitator superfamily domain containing 4
Amillepora16816	Ets domain transcription factor
Amillepora16823	Major facilitator superfamily domain containing 4
Amillepora16822	Major facilitator superfamily domain containing 4
Amillepora16821	ets variant
Amillepora16819	Ets domain transcription factor
Amillepora16820	Transient receptor potential cation channel subfamily C member
Amillepora16826	stabilin 1
Amillepora16825	Aldehyde dehydrogenase 1 family, member
Amillepora16841	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16840	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16849	NA
Amillepora16853	forkhead
Amillepora16854	saccharopine dehydrogenase
Amillepora16872	Glutathione S-transferase, mu
Amillepora16877	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora16875	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora16876	bol, boule-like (Drosophila)
Amillepora16874	protein tyrosine phosphatase receptor type
Amillepora16891	Cytochrome P450 family 27 subfamily
Amillepora16888	major facilitator superfamily domain-containing protein 3-like
Amillepora16890	N(alpha)-acetyltransferase 38, NatC auxiliary
Amillepora16886	NA
Amillepora16889	TatD DNase domain containing
Amillepora16878	dynein, axonemal, heavy chain 6
Amillepora16884	NACHT, LRR and PYD domains-containing protein
Amillepora16898	GRAM domain containing 4
Amillepora16892	cytochrome P450
Amillepora16893	Cytochrome P450 family 27 subfamily
Amillepora16897	ceramide
Amillepora16894	Cytochrome P450 family 27 subfamily
Amillepora16896	Cytochrome P450 family 27 subfamily
Amillepora16895	Cytochrome P450 family 27 subfamily
Amillepora16900	Cell adhesion molecule
Amillepora16901	Cell adhesion molecule
Amillepora16903	Cell adhesion molecule
Amillepora16905	Cell adhesion molecule
Amillepora16904	Cell adhesion molecule
Amillepora16914	Carboxypeptidase
Amillepora16913	Carboxypeptidase
Amillepora16908	Cell adhesion molecule
Amillepora16907	immunoglobulin superfamily DCC subclass member
Amillepora16915	Sea anemone cytotoxic protein
Amillepora16917	family with sequence similarity
Amillepora16922	Intercellular signal essential for a variety of patterning events during development (By similarity)
Amillepora16928	Inhibitor of kappa light polypeptide gene enhancer in B-cells kinase
Amillepora16926	tRNA nucleus export receptor which facilitates tRNA translocation across the nuclear pore complex. Involved in pre- tRNA splicing, probably by affecting the interaction of pre-tRNA with splicing endonuclease (By similarity)
Amillepora16925	NA
Amillepora16923	GDP dissociation inhibitor
Amillepora16931	synaptoporin
Amillepora16932	Tubulin tyrosine ligase-like family, member
Amillepora16930	60s ribosomal protein
Amillepora16934	copine family
Amillepora16937	rna polymerase
Amillepora16946	Chromosome 9 open reading frame 64
Amillepora16947	Chromosome 7 open reading frame 60
Amillepora16939	rna polymerase
Amillepora16941	Ataxin 7-like
Amillepora16936	rna polymerase
Amillepora16944	apoptosis-related cysteine peptidase
Amillepora16943	member RAS oncogene
Amillepora16940	SUMO sentrin specific peptidase family member 8
Amillepora16948	NA
Amillepora16958	Bacterial protein of unknown function (DUF885)
Amillepora16949	NA
Amillepora16956	Bacterial protein of unknown function (DUF885)
Amillepora16952	rna polymerase
Amillepora16951	dehydratase
Amillepora16953	chromosome 12 open reading frame 55
Amillepora16957	Bacterial protein of unknown function (DUF885)
Amillepora16968	Zinc finger protein 341
Amillepora16964	Zinc finger protein 341
Amillepora16961	NA
Amillepora16959	Cell adhesion molecule
Amillepora16965	NA
Amillepora16962	A kinase (PRKA) anchor protein 1
Amillepora16971	adrenoceptor beta
Amillepora16967	NA
Amillepora16966	NA
Amillepora16977	general transcription factor IIIC, polypeptide 6, alpha
Amillepora16972	Solute carrier family 16, member 3 (Monocarboxylic acid transporter 4)
Amillepora16975	KIN, antigenic determinant of recA protein homolog (Mouse)
Amillepora16979	helicase
Amillepora16978	NA
Amillepora16976	Transmembrane protein 43
Amillepora16984	G- protein-coupled receptor
Amillepora16988	PRP18 pre-mRNA processing factor 18 homolog
Amillepora16982	Scm-like with four mbt domains
Amillepora16983	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)
Amillepora16991	THO complex 7 homolog (Drosophila)
Amillepora16986	adds the third glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation. Transfers glucose from dolichyl phosphate glucose (Dol-P-Glc) onto the lipid-linked oligosaccharide Glc(2)Man(9)GlcNAc(2)-PP-Dol
Amillepora16981	TBC1 domain family member
Amillepora16989	NA
Amillepora16990	Inherit from COG: ProFAR isomerase
Amillepora16993	Coiled-coil domain containing 77
Amillepora16999	early endosome antigen
Amillepora16997	Tp53rk binding protein
Amillepora16996	Rap guanine nucleotide exchange factor (GEF) 1
Amillepora16998	cyclin D binding myb-like transcription factor 1
Amillepora16992	RAB interacting factor
Amillepora16994	IQ motif and Sec7 domain
Amillepora16995	phosducin
Amillepora17006	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Amillepora17005	cysteine-rich with egf-like domains
Amillepora17002	Cytochrome P450, family 46, subfamily a, polypeptide 1
Amillepora17007	Carboxypeptidase
Amillepora17001	leucine-rich repeat kinase 2
Amillepora17004	Heat shock protein
Amillepora17008	Neuronal pentraxin
Amillepora17016	Carboxypeptidase
Amillepora17021	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6
Amillepora17018	succinyl-CoA synthetase beta
Amillepora17017	solute carrier family 16, member
Amillepora17028	snail homolog
Amillepora17019	chromosome 7 open reading frame 23
Amillepora17025	b-cell receptor-associated protein
Amillepora17022	Monoglyceride lipase
Amillepora17023	beta-hexosaminidase
Amillepora17026	striatin interacting protein
Amillepora17030	Cell adhesion molecule
Amillepora17029	Cell adhesion molecule
Amillepora17036	solute carrier family 16, member 8 (monocarboxylic acid transporter 3)
Amillepora17037	nischarin
Amillepora17034	hemK methyltransferase family member 1
Amillepora17031	Myeloid lymphoid or mixed-lineage leukemia 5 (Trithorax homolog, Drosophila)
Amillepora17044	ssu-2 homolog (C. elegans)
Amillepora17040	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex
Amillepora17038	synthase
Amillepora17042	translocase of inner mitochondrial membrane domain containing 1
Amillepora17039	premRNAsplicing factor ISY1
Amillepora17043	ssu-2 homolog (C. elegans)
Amillepora17054	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17057	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17055	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17050	member RAS oncogene family
Amillepora17051	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
Amillepora17053	tetratricopeptide repeat domain 28
Amillepora17060	extracellular ligand-gated ion channel activity
Amillepora17059	to F57G4.9 Hydra magnipapillata 
Amillepora17064	extracellular ligand-gated ion channel activity
Amillepora17066	extracellular ligand-gated ion channel activity
Amillepora17061	extracellular ligand-gated ion channel activity
Amillepora17067	extracellular ligand-gated ion channel activity
Amillepora17062	extracellular ligand-gated ion channel activity
Amillepora17068	extracellular ligand-gated ion channel activity
Amillepora17072	Carboxypeptidase
Amillepora17070	RNA polymerase II associated protein 3
Amillepora17080	universal minicircle sequence binding protein
Amillepora17077	coiledcoil domain containing
Amillepora17079	Small nuclear ribonucleoprotein
Amillepora17076	amidohydrolase domain containing 1
Amillepora17084	DiGeorge syndrome critical region gene 14
Amillepora17088	NA
Amillepora17082	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17087	NA
Amillepora17086	thymine-DNA glycosylase
